5393,2008-02-06,Double Jeopardy!,"FROM THE FRENCH","$2000","From the French for ""caper"", it's a curved furniture leg that often tapers to a paw","cabriole"
5894,2010-04-08,Jeopardy!,"HETERONYMS","$600","A task, or to show a movie on a screen","project"
5894,2010-04-08,Jeopardy!,"PRESIDENTIAL PASTIMES","$800","President Clinton not only enjoyed listening to music but playing this instrument as well, even on TV","the saxophone"
5894,2010-04-08,Jeopardy!,"REALITY TV","$800","Their TV show bios call Kim the bomb-shell, Kourtney the unassuming firecracker & Khloe the voice of reason","the Kardashians"
5894,2010-04-08,Jeopardy!,"THE JAMES BEARD FOUNDATION","$800","The foundation's celebrity chef tour also brings along a master this, so you don't get too thirsty","a sommelier"
5894,2010-04-08,Jeopardy!,"THE NOVEL'S FIRST DRAFT?","$800","""With the first pick in the NFL draft, the Chicago Bears select...Lennie!"" George beamed. Now they could buy 200 rabbit farms!","Of Mice and Men"
5894,2010-04-08,Jeopardy!,"SOUNDS","$800","The name of this Southwest Airlines computer application represents the seatbelt-sign-is-off sound","ding!"
5894,2010-04-08,Jeopardy!,"HETERONYMS","$800","To allow, or a document allowing something","permit"
5894,2010-04-08,Jeopardy!,"PRESIDENTIAL PASTIMES","$1000","He enjoyed gambling on the ponies; he also bred racehorses at his Hermitage home","Andrew Jackson"
5894,2010-04-08,Jeopardy!,"REALITY TV","$1000","This ""American Idoler"" enjoyed another 15 minutes of fame as a contestant on ""I'm a Celebrity...Get Me Out of Here!""","Sanjaya"
5894,2010-04-08,Jeopardy!,"THE JAMES BEARD FOUNDATION","$1000","The national advisory board includes this Austrian-born chef, involved with the foundation from early days","Wolfgang Puck"
5894,2010-04-08,Jeopardy!,"THE NOVEL'S FIRST DRAFT?","$1000","""We're saved!"" Piggy exclaimed to Ralph. ""Looking back"", Simon said, ""We probably shouldn't have eaten Jack""","Lord of the Flies"
5894,2010-04-08,Jeopardy!,"SOUNDS","$1000","Term for the sound you'll hear if you use gas with too low an octane number","a ping"
5894,2010-04-08,Jeopardy!,"HETERONYMS","$1000","An early schoolbook, or a preparatory coat of paint","primer"
5894,2010-04-08,Double Jeopardy!,"CLASSICAL COMPOSERS","$400","The 46 chorales in his ""Little Organ Book"" were written for various feast days of the church year","(Johann Sebastian) Bach"
5894,2010-04-08,Double Jeopardy!,"HOMAGES TO STAR WARS","$400","In this film Marty tells George McFly that he is Darth Vader, ""an extraterrestrial from the planet Vulcan""","Back to the Future"
5894,2010-04-08,Double Jeopardy!,"GET OUTTA TOWN!","$400","If you're in this Roman town Aug. 24, 79 A.D.","Pompeii"
5894,2010-04-08,Double Jeopardy!,"THE TUDORS","$400","<a href=""http://www.j-archive.com/media/2010-04-08_DJ_20.wmv"">This</a> Irish-born actor returns for a fourth season as top Tudor Henry VIII","Jonathan Rhys Meyers"
5894,2010-04-08,Double Jeopardy!,"GREAT MEN OF MEDICINE","$400","""Feeding your Baby and Child"" was the 1955 follow-up to his more famous 1946 book","(Benjamin) Spock"
5894,2010-04-08,Double Jeopardy!,"WE GOT THE ""BEA""","$400","Comfy informal ""chair"" you might find in a dorm room","a beanbag chair"
5894,2010-04-08,Double Jeopardy!,"CLASSICAL COMPOSERS","$800","While with George Sand on Majorca, he began showing symptoms of what is believed to be tuberculosis","Chopin"
5894,2010-04-08,Double Jeopardy!,"HOMAGES TO STAR WARS","$800","The beginning of this 1984 movie finds the title character poisoned at club Obi Wan in 1935 Shanghai","Indiana Jones and the Temple of Doom"
5894,2010-04-08,Double Jeopardy!,"GET OUTTA TOWN!","$7,000","If it's March 1, 1910 in Wellington, Washington, high in the Cascades; one of these is on its way & it's a doozy","an avalanche"
5894,2010-04-08,Double Jeopardy!,"THE TUDORS","$800","Henry VIII is told this son of his is ""a strong and healthy boy""; he became king & died at 15","Edward VI"
5894,2010-04-08,Double Jeopardy!,"GREAT MEN OF MEDICINE","$800","Before his rivalry with Jonas Salk, he developed a vaccine for dengue fever while in the army during WWII","(Albert) Sabin"
5894,2010-04-08,Double Jeopardy!,"WE GOT THE ""BEA""","$800","Dover or Waikiki","beaches"
5894,2010-04-08,Double Jeopardy!,"CLASSICAL COMPOSERS","$1,200","Many of this 19th c. composer's great works were written in a small cabin on the edge of a fjord at Lofthus","Edvard Grieg"
5894,2010-04-08,Double Jeopardy!,"HOMAGES TO STAR WARS","$1200","Pizza the Hutt is a character in this Mel Brooks ""Star Wars"" parody","Spaceballs"
5894,2010-04-08,Double Jeopardy!,"GET OUTTA TOWN!","$1200","If you're in this capital of Nova Scotia Dec. 6, 1917; that ship full of ammo in the harbor is about to go boom","Halifax"
5894,2010-04-08,Double Jeopardy!,"THE TUDORS","$1200","The king is quite smitten with <a href=""http://www.j-archive.com/media/2010-04-08_DJ_28.wmv"">this</a> fifth Mrs. Henry VIII, but dark times are in store","(Catherine) Howard"
5894,2010-04-08,Double Jeopardy!,"GREAT MEN OF MEDICINE","$1200","He once said, ""On Saturday, I was a surgeon in South Africa, very little known. On Monday I was world renowned""","Christiaan Barnard"
5894,2010-04-08,Double Jeopardy!,"WE GOT THE ""BEA""","$1200","Shining brightly, like a big smile","beaming"
5894,2010-04-08,Double Jeopardy!,"CLASSICAL COMPOSERS","$1600","This French composer's ""The Carnival of the Animals"" was writfen to make fun of some friends","Saint-Saëns"
5894,2010-04-08,Double Jeopardy!,"HOMAGES TO STAR WARS","$1600","Kevin Smith's movie ""Jay and Silent Bob"" do this features a lightsaber battle with Mark Hamill","Strike Back"
5894,2010-04-08,Double Jeopardy!,"GET OUTTA TOWN!","$1600","If you're in this Pennsylvania town May 31, 1889; that dam's not gonna hold","Johnstown"
5894,2010-04-08,Double Jeopardy!,"THE TUDORS","$1600","We're out of wives as Katherine Parr is played by her, acting royalty, the younger daughter of Vanessa Redgrave","Joely Richardson"
5894,2010-04-08,Double Jeopardy!,"GREAT MEN OF MEDICINE","$1600","In 1616 he began lecturing on the circulation of blood; his book on the subject didn't come out until 1628","(William) Harvey"
5894,2010-04-08,Double Jeopardy!,"WE GOT THE ""BEA""","$1600","A signal fire","a beacon"
5894,2010-04-08,Double Jeopardy!,"CLASSICAL COMPOSERS","$2000","This composer of Armenian heritage won a 1959 Lenin prize for his ballet ""Spartacus""","Khachaturian"
5894,2010-04-08,Double Jeopardy!,"HOMAGES TO STAR WARS","$2000","Kitchen appliances are starships in this '70s parody short with characters like Ham Salad & Fluke Starbucker","Hardware Wars"
5894,2010-04-08,Double Jeopardy!,"GET OUTTA TOWN!","$2000","If you're in this Phoenician city in 146 B.C.; the Romans are coming, & they say it must be destroyed","Carthage"
5894,2010-04-08,Double Jeopardy!,"THE TUDORS","$2000","<a href=""http://www.j-archive.com/media/2010-04-08_DJ_30.wmv"">That</a>'s the earl of this putting the moves on a fine lady; note his collar with the fringe on top","Surrey"
5894,2010-04-08,Double Jeopardy!,"GREAT MEN OF MEDICINE","$2000","Last name of clinic founders Karl & William, whose writings helped mold attitudes toward mental illness","Menninger"
5894,2010-04-08,Double Jeopardy!,"WE GOT THE ""BEA""","$2000","Glass vessel used in science experiments","a beaker"
5894,2010-04-08,Final Jeopardy!,"PORTRAIT SUBJECTS","None","One of Goya's few portraits of a foreigner was of <a href=""http://www.j-archive.com/media/2010-04-08_FJ.jpg"" target=""_blank"">this</a> Englishman painted in 1812","the Duke of Wellington"
4330,2003-05-30,Jeopardy!,"SCIENCE OF THE TIMES","$200","Early 1800s: Catastrophism says big events, like the one in Genesis 7, shaped the Earth & its life","the Flood"
4330,2003-05-30,Jeopardy!,"MUSICAL INSTRUMENT MAKERS","$200","Gottfried Silbermann pulled out all the stops building this for Dresden's Katholische Hofkirche","organ"
4330,2003-05-30,Jeopardy!,"TV GAME SHOWS","$200","On September 17, 1962 the parents of this first moonwalker appeared on an episode of ""I've Got A Secret""","Neil Armstrong"
4330,2003-05-30,Jeopardy!,"HISTORIC HOMES","$200","Name of the famous home that's depicted on the back of our current 5-cent coin","Monticello"
4330,2003-05-30,Jeopardy!,"FEELING ""ILL""","$200","It's the ""Prairie State""","Illinois"
4330,2003-05-30,Jeopardy!,"MISSOURI LOVES COMPANY","$200","This seat of Jackson County, Missouri was the home of Harry Truman","Independence"
4330,2003-05-30,Jeopardy!,"SCIENCE OF THE TIMES","$400","1751: Axel Cronstedt discovers this -- the element, in a mineral, not the coin in his pants pocket","nickel"
4330,2003-05-30,Jeopardy!,"MUSICAL INSTRUMENT MAKERS","$400","Antonio de Torres of 19th century Granada is responsible for the modern version of this instrument","guitar"
4330,2003-05-30,Jeopardy!,"TV GAME SHOWS","$400","Game show on which you heard Richard Dawson say, ""Our survey said...""","Family Feud"
4330,2003-05-30,Jeopardy!,"HISTORIC HOMES","$400","His ""Body lies a-mouldering in the grave"" near his farmhouse in Lake Placid, New York","John Brown"
4330,2003-05-30,Jeopardy!,"FEELING ""ILL""","$400","The rate of this in Gambia is about 60 percent","illiteracy"
4330,2003-05-30,Jeopardy!,"MISSOURI LOVES COMPANY","$400","Before moving to Missouri, this pro football team was known as the Dallas Texans","Kansas City Chiefs"
4330,2003-05-30,Jeopardy!,"SCIENCE OF THE TIMES","$600","2001: Researchers produce pulses of this that last 650 billionths of a billionth of a second","light"
4330,2003-05-30,Jeopardy!,"MUSICAL INSTRUMENT MAKERS","$600","The instrument (violin) that's seen here, just before it was auctioned off for $1.3 million, was made by him","Stradivarius"
4330,2003-05-30,Jeopardy!,"TV GAME SHOWS","$600","In 1978 Billy Crystal cleared all 6 categories in a record 26 sec. on the $20,000 version of this Dick Clark show","Pyramid"
4330,2003-05-30,Jeopardy!,"HISTORIC HOMES","$600","Beauvoir, his last home in Biloxi, is now operated by the United Sons of Confederate Veterans","Jefferson Davis"
4330,2003-05-30,Jeopardy!,"FEELING ""ILL""","$600","Spock knows it means something that makes no rational sense","illogical"
4330,2003-05-30,Jeopardy!,"MISSOURI LOVES COMPANY","$600","The only national monument in Missouri is the birthplace of this botanist, seen here","George Washington Carver"
4330,2003-05-30,Jeopardy!,"SCIENCE OF THE TIMES","$800","4th century B.C.: Aristotle writes, ""It is agreed that there are...only two solids, the pyramid and"" this geometric one","cube"
4330,2003-05-30,Jeopardy!,"MUSICAL INSTRUMENT MAKERS","$800","Theobald Boehm, a player of this instrument, enlarged its finger holes & made it metal instead of wood","flute"
4330,2003-05-30,Jeopardy!,"TV GAME SHOWS","$800","Once contestants reached $8,000 on this '50s show, they answered questions from the Revlon isolation booth","The $64,000 Question"
4330,2003-05-30,Jeopardy!,"HISTORIC HOMES","$3,000","After Frederick Pabst's death, his 37-room mansion became home to the archbishops of this city","Milwaukee"
4330,2003-05-30,Jeopardy!,"FEELING ""ILL""","$800","Almost impossible to read","illegible"
4330,2003-05-30,Jeopardy!,"MISSOURI LOVES COMPANY","$800","You're barking up the right tree if you know this is Missouri's state tree","dogwood"
4330,2003-05-30,Jeopardy!,"SCIENCE OF THE TIMES","$1000","1855: Matthew Maury publishes the first textbook of this science, ""Physical Geography of the Sea""","oceanography"
4330,2003-05-30,Jeopardy!,"MUSICAL INSTRUMENT MAKERS","$1000","In 1950 music stand maker Katsumi Yanagisawa started making these instruments under the Pearl brand name","drums"
4330,2003-05-30,Jeopardy!,"TV GAME SHOWS","$1000","Future playwright Neil Simon was a stunt writer & James Dean a stunt tester for this Bud Collyer game show","Beat The Clock"
4330,2003-05-30,Jeopardy!,"HISTORIC HOMES","$1000","A window of The Old Manse in Concord, Mass. still bears the diamond-engraved signatures of this author & his wife","Nathaniel Hawthorne"
4330,2003-05-30,Jeopardy!,"FEELING ""ILL""","$1000","Another name for a magician","illusionist"
4330,2003-05-30,Jeopardy!,"MISSOURI LOVES COMPANY","$1000","The Missouri Compromise allowed Missouri to enter the Union with this status","slave state"
4330,2003-05-30,Double Jeopardy!,"POETS & POETRY","$400","Almost all of the poetry of this ""New England Mystic"" was first published after her death in 1886","Emily Dickinson"
4330,2003-05-30,Double Jeopardy!,"THE LANGUAGE OF CINEMA","$400","(Sarah of the Clue Crew)  The equipment (film splicer) here was once used in this job that's had its own Academy Award since 1934","editing"
4330,2003-05-30,Double Jeopardy!,"TREE POTPOURRI","$400","In the theme song for ""George of the Jungle"", George is warned to do this","watch out for that tree"
4330,2003-05-30,Double Jeopardy!,"17th CENTURY AMERICA","$400","The Swedes founded Fort Christina in 1638 & this group founded Schenectady in 1661","Dutch"
4330,2003-05-30,Double Jeopardy!,"LET'S PARTY!","$400","2000: Ralph Nader","Green"
4330,2003-05-30,Double Jeopardy!,"DISTURBING THE ""P""s","$400","Planter's, fish house & champagne are 3 types of this festive drink","punch"
4330,2003-05-30,Double Jeopardy!,"POETS & POETRY","$800","Poem that contains the line ""All in the valley of death rode the six hundred""","""The Charge of the Light Brigade"""
4330,2003-05-30,Double Jeopardy!,"THE LANGUAGE OF CINEMA","$800","The genre of ""Kickboxer 4: The Aggressor"", or what the director says once camera & sound are running","action"
4330,2003-05-30,Double Jeopardy!,"TREE POTPOURRI","$800","This fictional character lives in a tree that has the name ""Sanders"" above the door in gold letters","Winnie-the-Pooh"
4330,2003-05-30,Double Jeopardy!,"17th CENTURY AMERICA","$800","These ended in 1692 with a total of 30 convictions & 20 executions","Salem Witch Trials"
4330,2003-05-30,Double Jeopardy!,"LET'S PARTY!","$800","1844: Henry Clay","Whig"
4330,2003-05-30,Double Jeopardy!,"DISTURBING THE ""P""s","$800","This board can decide whether to release you from prison before your full sentence has been served","parole board"
4330,2003-05-30,Double Jeopardy!,"POETS & POETRY","$1200","""Mending Wall"" is one of the best-known poems in his collection ""North of Boston""","Robert Frost"
4330,2003-05-30,Double Jeopardy!,"THE LANGUAGE OF CINEMA","$1200","(Sofia of the Clue Crew skiing, but not giving the clue)  From the French, it's a sequence consisting of a succession of shots used to present an idea","montage"
4330,2003-05-30,Double Jeopardy!,"TREE POTPOURRI","$1200","This 1987 U2 album contained 2 No. 1 hits: ""With or Without You"" & ""I Still Haven't Found What I'm Looking For""","""The Joshua Tree"""
4330,2003-05-30,Double Jeopardy!,"17th CENTURY AMERICA","$3,000","Debuting in 1690, Boston's Publick Occurrences, the first one of these in America, was quickly suppressed","newspaper (it only lasted one issue)"
4330,2003-05-30,Double Jeopardy!,"LET'S PARTY!","$1200","1904: Eugene V. Debs","Socialist"
4330,2003-05-30,Double Jeopardy!,"DISTURBING THE ""P""s","$1200","Lemurs & humans both belong to this animal order","primates"
4330,2003-05-30,Double Jeopardy!,"POETS & POETRY","$1600","A famous line in a James Weldon Johnson poem says, ""Young man -- young man -- your arm's too short to"" do this","box with God"
4330,2003-05-30,Double Jeopardy!,"THE LANGUAGE OF CINEMA","$1600","A type of adhesive tape is named for this job, the chief electrician on the set","gaffer"
4330,2003-05-30,Double Jeopardy!,"TREE POTPOURRI","$1600","In Greek mythology, she was transformed into a laurel tree by her father to protect her from Apollo's advances","Daphne"
4330,2003-05-30,Double Jeopardy!,"17th CENTURY AMERICA","$1600","In 1692 this father of Cotton received Harvard's first doctor of sacred theology degree","Increase Mather"
4330,2003-05-30,Double Jeopardy!,"LET'S PARTY!","$2,200","1996: Ross Perot","Reform"
4330,2003-05-30,Double Jeopardy!,"DISTURBING THE ""P""s","$1600","It's the city where you'll find the main campus of the University of South Africa","Pretoria"
4330,2003-05-30,Double Jeopardy!,"POETS & POETRY","$2000","T.S. Eliot dedicated ""The Waste Land"" to this poet & critic who helped revise it","Ezra Pound"
4330,2003-05-30,Double Jeopardy!,"THE LANGUAGE OF CINEMA","$2000","(Jimmy of the Clue Crew)  As opposed to backlight or fill light, the main spotlight in a scene is usually called this light","key light"
4330,2003-05-30,Double Jeopardy!,"TREE POTPOURRI","$2000","This 1943 Betty Smith novel told the story of Francie Nolan, a child living in NYC's slums","""A Tree Grows in Brooklyn"""
4330,2003-05-30,Double Jeopardy!,"17th CENTURY AMERICA","$2000","In 1619 this representative body in Virginia met for the very first time","House of Burgesses"
4330,2003-05-30,Double Jeopardy!,"LET'S PARTY!","$2000","1948: Henry Wallace","Progressive"
4330,2003-05-30,Double Jeopardy!,"DISTURBING THE ""P""s","$2000","Clowns attempt rape, cheat on each other & eventually commit murder in this Leoncavallo opera","Pagliacci"
4330,2003-05-30,Final Jeopardy!,"U.S. CITIES","None","It's the largest U.S. city in population that's named for an American individual","Houston"
6283,2012-01-04,Jeopardy!,"OLD KING COAL","$200","This European adventurer reported that coal was widely used in the 13th century Far East","Marco Polo"
6283,2012-01-04,Jeopardy!,"SCRIPT DOCTORS","$200","1965: Omar Sharif as this sensitive-yet-philandering Russian doctor","Doctor Zhivago"
6283,2012-01-04,Jeopardy!,"NAMETH THE BIBLE BOOK","$200","""Then Pharaoh called for Moses and Aaron in haste""","Exodus"
6283,2012-01-04,Jeopardy!,"ODDITIES","$200","A 2004 contest saw ""Brain Freeze"" beat out ""Growling Stomach"" & ""Tennis Elbow"" to be added to this electric game","Operation"
6283,2012-01-04,Jeopardy!,"THE MAIN ALCOHOLIC INGREDIENT","$200","...In a screwdriver","vodka"
6283,2012-01-04,Jeopardy!,"BEASTLY EXPRESSIONS","$200","""The straw that broke"" this creature's ""back""","the camel"
6283,2012-01-04,Jeopardy!,"OLD KING COAL","$400","Coal mining was made safer by the 19th c. invention of the safety this, which wouldn't ignite methane","a lantern (or lamp)"
6283,2012-01-04,Jeopardy!,"SCRIPT DOCTORS","$400","2004: Alfred Molina as this heavily armed enemy of Spider-Man","Doctor Octopus"
6283,2012-01-04,Jeopardy!,"NAMETH THE BIBLE BOOK","$400","""And I beheld when he had opened the sixth seal, and, lo, there was a great earthquake""","Revelation"
6283,2012-01-04,Jeopardy!,"ODDITIES","$400","Raise a glass to Angela Mount, who had her olfactory system insured for 10 million pounds while working evaluating this","wine"
6283,2012-01-04,Jeopardy!,"THE MAIN ALCOHOLIC INGREDIENT","$400","...In a boilermaker, along with beer (rye works fine)","whiskey"
6283,2012-01-04,Jeopardy!,"BEASTLY EXPRESSIONS","$400","""A fine kettle of"" these","fish"
6283,2012-01-04,Jeopardy!,"OLD KING COAL","$600","In the 13th century a duty of one farthing was assessed on coal unloaded at Billingsgate in this city","London"
6283,2012-01-04,Jeopardy!,"SCRIPT DOCTORS","$600","1964: Peter Sellers as this German scientist who helped us love the bomb","Dr. Strangelove"
6283,2012-01-04,Jeopardy!,"NAMETH THE BIBLE BOOK","$600","""Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne"" (in First this)","Kings"
6283,2012-01-04,Jeopardy!,"ODDITIES","$600","In 1986 a judge told the Library of Congress to resume producing pictureless Braille editions of this magazine","Playboy"
6283,2012-01-04,Jeopardy!,"THE MAIN ALCOHOLIC INGREDIENT","$600","...In a Tom Collins: the dry type of this","gin"
6283,2012-01-04,Jeopardy!,"BEASTLY EXPRESSIONS","$600","""Mad as a wet"" this bird","a hen"
6283,2012-01-04,Jeopardy!,"OLD KING COAL","$800","Britannica says coal ""was the basic energy source that fueled the"" this ""of the 18th and 19th centuries""","the Industrial Revolution"
6283,2012-01-04,Jeopardy!,"SCRIPT DOCTORS","$800","1974: Gene Wilder as this doctor trying to live down the family name","Dr. Frankenstein"
6283,2012-01-04,Jeopardy!,"NAMETH THE BIBLE BOOK","$2,600","""They bemoaned him, and comforted him over all the evil that the Lord had brought upon him""","Job"
6283,2012-01-04,Jeopardy!,"ODDITIES","$800","Its nose is missing, but part of the beard of this ancient statue is in the British Museum","the Sphinx"
6283,2012-01-04,Jeopardy!,"THE MAIN ALCOHOLIC INGREDIENT","$800","...In a Gauguin","rum"
6283,2012-01-04,Jeopardy!,"BEASTLY EXPRESSIONS","$800","""A"" this ""of a different color""","a horse"
6283,2012-01-04,Jeopardy!,"OLD KING COAL","$1000","In the 1300s the southwest Indian tribes named for these dwellings used coal in pottery making","pueblos"
6283,2012-01-04,Jeopardy!,"SCRIPT DOCTORS","$1000","2005 & 2007: Julian McMahon as this comic book doctor who was struck by cosmic waves","Doctor Doom"
6283,2012-01-04,Jeopardy!,"NAMETH THE BIBLE BOOK","$1000","""The fear of the Lord is the beginning of knowledge: but fools despise wisdom and instruction""","Proverbs"
6283,2012-01-04,Jeopardy!,"ODDITIES","$1000","From 2007 to 2011 the president, V.P. & prime minister all had the same family name in this country of Indochina","Vietnam"
6283,2012-01-04,Jeopardy!,"THE MAIN ALCOHOLIC INGREDIENT","$1000","...In a Rob Roy; vermouth's along for the ride, too","scotch"
6283,2012-01-04,Jeopardy!,"BEASTLY EXPRESSIONS","$1000","""Killing the fatted"" one","a calf"
6283,2012-01-04,Double Jeopardy!,"GREAT ARTS","$400","He & Paul Simon had their first hit under the names Tom & Jerry","(Art) Garfunkel"
6283,2012-01-04,Double Jeopardy!,"19th CENTURY CONGRESSMEN","$400","It wasn't ""The Devil and"" him repping Massachusetts in the House from 1823 to 1827--it was just him","(Daniel) Webster"
6283,2012-01-04,Double Jeopardy!,"""G-P-S""","$400","During adolescence, you might feel these in your limbs, also the title of an '80s sitcom","growing pains"
6283,2012-01-04,Double Jeopardy!,"ISLANDS IN THE STREAM, SEA OR OCEAN","$400","Koror & Guadalcanal","the Pacific Ocean"
6283,2012-01-04,Double Jeopardy!,"COLLECTIONS","$400","Doug Arbittier's collection of medical antiques in York, Pa. includes colorful jars that held these bloodsuckers","leeches"
6283,2012-01-04,Double Jeopardy!,"PULL A MUSCLE","$400","You don't have to be self-absorbed to do the endless crunches needed to develop these","abs (in self-absorbed)"
6283,2012-01-04,Double Jeopardy!,"GREAT ARTS","$800","Hey, hey, Ralphie boy--he was up to his knees in the sewers as Ed Norton on ""The Honeymooners""","(Art) Carney"
6283,2012-01-04,Double Jeopardy!,"19th CENTURY CONGRESSMEN","$800","No debate--this Illinois man, ""The Little Giant"", was elected to the House in 1843 & the Senate in 1847","(Stephen) Douglas"
6283,2012-01-04,Double Jeopardy!,"""G-P-S""","$800","These trousers are modeled after those worn by South American cowboys","gaucho pants"
6283,2012-01-04,Double Jeopardy!,"ISLANDS IN THE STREAM, SEA OR OCEAN","$800","Majorca & Malta","the Mediterranean Sea"
6283,2012-01-04,Double Jeopardy!,"COLLECTIONS","$800","This talk show host's car collection ranges from a 1906 Stanley Steamer to a 2006 Corvette","Leno"
6283,2012-01-04,Double Jeopardy!,"PULL A MUSCLE","$800","When you dealt that card I acted as if this type of muscle, one of the body's 3 main types, had stopped working","cardiac (in card I acted)"
6283,2012-01-04,Double Jeopardy!,"GREAT ARTS","$1200","This big band leader was married 8 times, including nuptials with hotties Lana Turner & Ava Gardner","Artie Shaw"
6283,2012-01-04,Double Jeopardy!,"19th CENTURY CONGRESSMEN","$2,000","In his diary, he wrote ""My election as president...was not half so gratifying"" as his later election to Congress in 1830","John Quincy Adams"
6283,2012-01-04,Double Jeopardy!,"""G-P-S""","$3,500","Horripilation is the medical term for this skin condition","goose bumps (goose pimples accepted)"
6283,2012-01-04,Double Jeopardy!,"ISLANDS IN THE STREAM, SEA OR OCEAN","$1200","Mahe & Sri Lanka","the Indian Ocean"
6283,2012-01-04,Double Jeopardy!,"COLLECTIONS","$1200","A chrome pop-up one from the 1950s was the first in Jens Veerbeck's collection of about 600 of these kitchen appliances","toasters"
6283,2012-01-04,Double Jeopardy!,"PULL A MUSCLE","$1200","Her boyfriend is a NYC lawyer--a Gotham stringbean who never stretches out this leg muscle","hamstring (in Gotham stringbean)"
6283,2012-01-04,Double Jeopardy!,"GREAT ARTS","$1600","This ""holy"" Washington Redskins wide receiver was inducted into the Hall of Fame in 2008","(Art) Monk"
6283,2012-01-04,Double Jeopardy!,"""G-P-S""","$1600","This navigational device continuously indicates true north","a gyrocompass"
6283,2012-01-04,Double Jeopardy!,"ISLANDS IN THE STREAM, SEA OR OCEAN","$1600","Gotland & Bornholm","the Baltic Sea"
6283,2012-01-04,Double Jeopardy!,"COLLECTIONS","$1600","Ralph Isham was more interested in his mss. than his Mrs.--his passion was collecting these, including James Boswell's","manuscripts"
6283,2012-01-04,Double Jeopardy!,"PULL A MUSCLE","$1600","The anatomy prof brought in a human model to identify this shoulder muscle","the deltoid (in model to identify)"
6283,2012-01-04,Double Jeopardy!,"GREAT ARTS","$2000","This stop-motion animator created Gumby & Pokey","(Art) Clokey"
6283,2012-01-04,Double Jeopardy!,"""G-P-S""","$2000","Oceanography & volcanology are part of this branch of geology","geophysics"
6283,2012-01-04,Double Jeopardy!,"ISLANDS IN THE STREAM, SEA OR OCEAN","$2000","New York State's Grand Island & Three Sisters Islands","the Niagara River"
6283,2012-01-04,Double Jeopardy!,"COLLECTIONS","$2000","This editor of Famous Monsters of Filmland turned his L.A. mansion into a museum of sci-fi memorabilia","Forrest Ackerman"
6283,2012-01-04,Final Jeopardy!,"1930s NOVELS","None","An audio version of this anti-war novel by a once blacklisted author has introductions from Cindy Sheehan & Ron Kovic","Johnny Got His Gun"
759,1987-12-10,Jeopardy!,"U.S. GEOGRAPHY","$100","In 1980, this Cascade mountain peak was reduced from 9677' to about 8300'","Mt. St. Helens"
759,1987-12-10,Jeopardy!,"SPIDERS","$100","Of 30,000 known species, only Argyroneta aquatica truly lives in this type of environment","water"
759,1987-12-10,Jeopardy!,"OPPOSITES IN SONG","$100","Jim Stafford had a novelty song about ""My Girl Bill"" while Johnny Cash's biggest hit was about him","""A Boy Named Sue"""
759,1987-12-10,Jeopardy!,"MUSEUMS","$100","To find a tape of his 1st Tonight Show, a Museum of Broadcasting ad asked ""Whhheeere's"" this man","Johnny Carson"
759,1987-12-10,Jeopardy!,"BEAUTY QUEENS","$100","Ex-Miss New Orleans who went down the ""Road"" with Bing & Bob","Dorothy Lamourr"
759,1987-12-10,Jeopardy!,"SPORT OF KINGS","$100","Only Johnny Longden has ridden, then trained a winner of this legendary May race","the Kentucky Derby"
759,1987-12-10,Jeopardy!,"U.S. GEOGRAPHY","$200","Complete with big toe projection into the Gulf of Mexico, this state resembles a boot","Louisiana"
759,1987-12-10,Jeopardy!,"SPIDERS","$200","1 of the world's most dangerous spiders is this country's Sydney funnel web","Australia"
759,1987-12-10,Jeopardy!,"OPPOSITES IN SONG","$200","While The Silhouettes were urged to ""Get A Job"", Johnny Paycheck told his employer this","""Take This Job And Shove It"""
759,1987-12-10,Jeopardy!,"MUSEUMS","$200","A popular attraction in this city is the Fort Pitt Museum","Pittsburgh, Pennsylvania"
759,1987-12-10,Jeopardy!,"BEAUTY QUEENS","$200","He was involved with 1972's Miss Tennessee, Linda Thompson, while he & Priscilla were divorcing","Elvis Presley"
759,1987-12-10,Jeopardy!,"U.S. GEOGRAPHY","$300","Of about 8, 11, or 16%, the % of U.S. land area that Alaska represents","16%"
759,1987-12-10,Jeopardy!,"SPIDERS","$300","2 of the 3 colors found in names of the ""widow"" spiders found in the U.S.","(2 of) black, brown & red(-legged)"
759,1987-12-10,Jeopardy!,"OPPOSITES IN SONG","$300","Tho The Platters preferred ""Twilight Time"", The 4 Seasons sang of a girl named for this time","""Dawn"""
759,1987-12-10,Jeopardy!,"MUSEUMS","$300","Type of instrument Niccolo Paganini left to the city of Genoa, where it's kept in a museum","a violin"
759,1987-12-10,Jeopardy!,"BEAUTY QUEENS","$300","A scandal involving her lover lost this ex-Miss America her job with Mayor Koch's office","Bess Myerson"
759,1987-12-10,Jeopardy!,"U.S. GEOGRAPHY","$400","This island is the only U.S. commonwealth outside the continental U.S.","Puerto Rico"
759,1987-12-10,Jeopardy!,"SPIDERS","$400","Spiders are among the earliest island colonists after these create a new environment, as at Krakatoa","volcanoes"
759,1987-12-10,Jeopardy!,"OPPOSITES IN SONG","$400","While Starbuck said, ""Moonlight Feels Right"", John Denver preferred this","""Sunshine On My Shoulder"""
759,1987-12-10,Jeopardy!,"MUSEUMS","$400","Jack Larson, Jimmy Olson on TV's ""Superman"", donated this part of Jimmy's outfit to the Smithsonian","his bow tie"
